code,product_definition,description,cetane_octane,oxygenated_rbob_type,oxygenate_percent,comments_,requester,date_code_assigned
P0A,PREMIUM,CG,90,A,7.8,,,2-Nov-94
P0B,PREMIUM,CG,90,A,10,SUBGRADE PREMIUM FOR ETHANOL BLENDING,LISA WILLIAMS,17-Nov-09
P0C,PREMIUM,CG,90,A,10,SUBGRADE PREMIUM FOR ETHANOL BLENDING,LISA WILLIAMS,17-Nov-09
P0D,PREMIUM,CG,90,A,10,SUBGRADE PREMIUM FOR ETHANOL BLENDING,LISA WILLIAMS,17-Nov-09
P0E,PREMIUM,CG,91,N,,CANADA PREMIUM GASOLINE DYED,TIM DRINKARD,21-Aug-13
P0F,PREMIUM,CG,92,N,,,DAVE JOHNSON,2-Nov-94
P0G,PREMIUM,CG,90,A,10,10% OXY/45% UNL PREM/45% UNL REG,JIM SELLERS,18-Nov-97
P0H,PREMIUM,CG,93,N,,,JERRY HINSON,12-Dec-94
P0I,PREMIUM,CG,91,N,,,PATTY STERLING,13-Dec-94
P0J,PREMIUM,CG,,A,10,,BEV THOMPSON,7-Oct-02
P0K,PREMIUM,CG,91,A,10,,CHRIS BULLARD,16-Jan-95
P0L,PREMIUM,CG,91,A,10,,CHRIS BULLARD,16-Jan-95
P0M,PREMIUM,CG,90,N,,,CHRIS BULLARD,19-Jan-95
P0N,PREMIUM,CG,91,A,10,,RANDY THOMPSON,7-Feb-06
P0P,PREMIUM,CG,91,N,,CANADA  TOPTIER OVERADDITIZED PREMIUM DYED,TIM DRINKARD,21-Aug-13
P0Q,PREMIUM,CG,91,A,10,TOP TEIR ADDITIZED,LISA WILLIAMS,5-Sep-13
P0R,PREMIUM,CG,91,A,10,TOP TEIR ADDITIZED,LISA WILLIAMS,5-Sep-13
P0S,PREMIUM,CG,91,A,10,TOP TEIR ADDITIZED,LISA WILLIAMS,5-Sep-13
P0T,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED,LISA WILLIAMS,5-Sep-13
P0U,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED,LISA WILLIAMS,5-Sep-13
P0V,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED,LISA WILLIAMS,5-Sep-13
P0W,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED/LOW SULFUR,LISA WILLIAMS,5-Sep-13
P0X,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED/LOW SULFUR,LISA WILLIAMS,5-Sep-13
P0Y,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED/LOW SULFUR,LISA WILLIAMS,5-Sep-13
P0Z,PREMIUM,CG,91,N,,CANADA PREMIUM GASOLINE DYED,TIM DRINKARD,4-Nov-13
P10,PREMIUM,CG,92,N,,,DAVE QUACKENBUSH,25-Apr-95
P11,PREMIUM,CG,91,N,,CANADA PREMIUM GASOLINE DYED 80ppmS,TIM DRINKARD,27-May-15
P12,PREMIUM,CG,93,A,10,TOP TEIR ADDITIZED,FRANK MCNASBY,10-Mar-17
P13,PUL 93 VOC2 RFG ETOH 3.5-4.0 T250 USA,RFG,93,A,10,TOP TEIR ADDITIZED,Janie Morales,29-Jun-18
P14,PREMIUM,CG,91,N,,,CHRIS BULLARD,1-May-95
P15,PREMIUM,CG,92,A,7.8,,DOREE HAZEN,25-May-95
P16,PREMIUM,CG,90,A,10,,CHRIS BULLARD,2-Jun-95
P17,PREMIUM,ARIZONA RBOB CBG UNLEADED GASOLINE,89.5,N,,ARIZONA CLEANER BURNING GASOLINE,JEAN PICKETT,14-Aug-17
P18,PUL 93 NVOC RFG ETOH 3.5-4.0 T250 USA,RFG,93,A,10,TOP TEIR ADDITIZED,Janie Morales,29-Jun-18
P19,PREMIUM,RFG,93,A,10,Branded for Exxon/Mobil @ Manassas,Frank McNasby,30-Jul-19
P1A,PREMIUM,CG,91,A,10,,RICH KLAWUNN,3-Mar-08
P1B,PREMIUM,CG,91,A,7.8,,,2-Nov-94
P1C,PREMIUM,CG,91,A,10,,,2-Nov-94
P1D,PREMIUM,CG,91,A,8,,,2-Nov-94
P1E,PREMIUM,CG,91,A,10,SUBOCTANE BLENDED WITH  PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
P1F,PREMIUM,CG,91,A,10,SUBOCTANE BLENDED WITH  PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
P1G,PREMIUM,CG,91,A,10,SUBOCTANE BLENDED WITH  PREMIUM AND ETHANOL,MARGARET WARD,7-Apr-10
P1H,PREMIUM,CG,93,A,10,Overadditized,REGGIE WILLIAMS,9-Aug-18
P1J,PREMIUM,CG,92,A,7.8,,BARRY DUFFIN,4-Mar-02
P1K,PREMIUM,CG,92,A,7.8,,BARRY DUFFIN,4-Mar-02
P1L,PREMIUM,CG,93,N,,CANADA PREMIUM GASOLINE DYED,TIM DRINKARD,5-Nov-13
P1M,PREMIUM,CG,93,N,,CANADA PREMIUM GASOLINE DYED,TIM DRINKARD,5-Nov-13
P1U,PREMIUM,CG,91,N,,,,5-Jan-93
P1V,PREMIUM,CG,92,A,7.8,,JERRY HINSON,17-Nov-94
P1X,PREMIUM,CG,91,N,,,,2-Nov-94
P1Y,PREMIUM,CG,92,A,10,TOP TIER ADDITIZED,JEAN PICKETT,21-Aug-14
P1Z,PREMIUM,CG,91,N,,CANADA PREMIUM GASOLINE DYED,TIM DRINKARD,4-Nov-13
P22,PREMIUM,CG,93,A,10,,VG SMITH,19-Jan-99
P23,PREMIUM,CG,93,A,10,,RANDALL G THOMPSON,29-Jul-02
P24,PREMIUM,CG,93,A,10,,CHRIS BULLARD,14-Jun-95
P26,PREMIUM,CG,93,A,10,,CHRIS BULLARD,1-Jul-05
P27,PREMIUM,CG,93,A,10,,CHRIS BULLARD,30-Jul-09
P28,PREMIUM,CG,91,N,,,CHRIS BULLARD,22-Aug-95
P29,PREMIUM,CG,90,N,,,CHRIS BULLARD,22-Aug-95
P2A,PREMIUM,CG,92,N,,,KAREN ELLIS,7-Jun-94
